method,real_path,raw_pattern,normalized_pattern,definition_file,definition_line,usage_count,usage_files,triage
POST,/rest/quality/a/:param/api/scenario/create,${scope(options.appId)}/api/scenario/create,${scope(options.appId)}/api/scenario/create,src/service/Api/TestScenario/index.ts,144,1,src/service/Api/TestScenario/index.ts,
POST,/rest/quality/a/:param/api/scenario/description,${scope(options.appId)}/api/scenario/description,${scope(options.appId)}/api/scenario/description,src/service/Api/TestScenario/detail.ts,53,1,src/service/Api/TestScenario/detail.ts,
POST,/rest/quality/a/:param/api/scenario/get,${scope(options.appId)}/api/scenario/get,${scope(options.appId)}/api/scenario/get,src/service/Api/TestScenario/detail.ts,38,2,src/service/Api/TestScenario/detail.ts src/service/Api/TestScenario/index.ts,
POST,/rest/quality/a/:param/api/scenario/group,${scope(options.appId)}/group,${scope(options.appId)}/group,src/service/Api/TestScenarioGroup/index.ts,112,1,src/service/Api/TestScenarioGroup/index.ts,
POST,/rest/quality/a/:param/api/scenario/group/copy,${scope(options.appId)}/group/copy,${scope(options.appId)}/group/copy,src/service/Api/TestScenarioGroup/index.ts,152,1,src/service/Api/TestScenarioGroup/index.ts,
POST,/rest/quality/a/:param/api/scenario/group/copyBetweenApp,${QUALITY_URL(appId)}/api/scenario/group/copyBetweenApp,${QUALITY_URL(appId)}/api/scenario/group/copyBetweenApp,src/service/Api/ImportScenario/base.ts,10,1,src/service/Api/ImportScenario/base.ts,
POST,/rest/quality/a/:param/api/scenario/group/copyBetweenAppCheck,${QUALITY_URL(appId)}/api/scenario/group/copyBetweenAppCheck,${QUALITY_URL(appId)}/api/scenario/group/copyBetweenAppCheck,src/service/Api/ImportScenario/base.ts,5,1,src/service/Api/ImportScenario/base.ts,
POST,/rest/quality/a/:param/api/scenario/group/description,${scenarioScoped(appId)}/group/description,${scenarioScoped(appId)}/group/description,src/service/Api/PlayWright/api.ts,55,1,src/service/Api/PlayWright/api.ts,
POST,/rest/quality/a/:param/api/scenario/group/locator/references,${QUALITY_URL(options.appId)}/api/scenario/group/locator/references,${QUALITY_URL(options.appId)}/api/scenario/group/locator/references,src/service/Api/TestScenario/refRelation.ts,43,1,src/service/Api/TestScenario/refRelation.ts,
POST,/rest/quality/a/:param/api/scenario/group/scenarioTree,${scope(options.appId)}/group/scenarioTree,${scope(options.appId)}/group/scenarioTree,src/service/Api/TestScenarioGroup/index.ts,91,1,src/service/Api/TestScenarioGroup/index.ts,
